Sample ID,Ti,Y,Zr,Nb,In,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,Ti_uncert,Y_uncert,Zr_uncert,Nb_uncert,In_uncert,La_uncert,Ce_uncert,Pr_uncert,Nd_uncert,Sm_uncert,Eu_uncert,Gd_uncert,Tb_uncert,Dy_uncert,Ho_uncert,Er_uncert,Tm_uncert,Yb_uncert,Lu_uncert,Hf_uncert,Ta_uncert,Th_uncert
RBCW-Greenbole_z2,-405.6195636,21954.50573,355302.5042,-60.4012812,0,39.86062,62.89064095,17.41332129,85.59727493,87.57878002,43.81935568,273.4029386,141.6155968,1028.266005,460.2298908,1994.95688,378.9306575,2630.518287,777.3441906,102562.131,-12.93739016,9877.773215,11.73670346,0.011734919,0.000467942,41.55474258,0.000341372,14.30138366,3.303231838,86.32669768,42.95676686,35.84159121,70.73503136,3.637758493,6.227821386,0.941981773,0.630364955,0.168991514,0.606639291,0.354660769,0.462138212,0.014142375,78.55604665,0.724779327
RBCW-Greenbole_z4,-394.258833,-5672.69505,539744.313,28.68875224,0,-17.65714671,-24.2638345,-9.39432647,-35.16626137,-24.7610876,-15.94806638,-18.23964887,-29.3674244,-69.87534188,-63.96591196,-266.6652674,-49.55088148,-242.1486688,-170.0034283,-31367.14292,5.765314663,-4055.921756,3.373598793,31.78927223,0.245212524,41.36091864,0.000233699,7.337498457,3.559884995,21.46921179,40.64864864,191.8813826,201.603871,173.6011066,1588.491302,520.5372624,717.2162693,853.6578746,942.8050818,670.7658186,329.4026877,20.74590251,58.12727487,12.82070369
RBCW-Greenbole_z6,354.4942601,-7196.115621,551763.2825,44.50663757,0,-28.02881939,-58.66926644,-13.68493107,-49.9357243,-34.12614868,-20.17412119,-31.93244173,-38.18208753,-111.6009631,-85.94889081,-369.403455,-69.0211679,-355.0428006,-222.7524591,-40457.12152,8.273657473,-5028.322414,5.595677826,0.678067203,0.002616243,145.8819416,0.000474665,5.190735033,2.691598142,13.45749568,34.14204327,114.1097077,121.4086284,101.1680138,129.7637655,43.00086691,45.85980008,9.723973979,29.4390117,13.14911752,14.14699665,0.144227191,156.2639746,1.750621527
RBCW-Greenbole_z9,-285.8271839,-6122.954846,561504.1027,35.59369059,0,-3907.753015,-7938.976599,-837.3538404,-2855.592287,-426.0828533,-33.15109049,-302.7940075,-49.29041874,-139.7093725,-74.55718877,-294.4549508,-52.34532674,-261.1444715,-178.0281599,-32620.3675,8.117969559,-7807.258471,4.039728998,0.634819548,2.22669058,114.6972953,0.001004885,0.013537776,0.006638459,0.047091809,0.102019227,0.591468826,16.99976093,2.541919521,12.57826681,9.439605825,34.91805879,30.77651398,181.1980802,114.0320924,129.0703386,70.60878558,177.3926033,0.01397553
RBCW-Greenbole_z12,-12.82306519,4899.929683,463539.1625,-0.388984149,0,12.04111014,33.49262891,4.745979488,22.82330521,21.41992308,8.352490914,74.67420009,34.78044756,291.5173581,122.1699779,528.3166674,102.3906597,727.5318409,188.2754351,25340.0616,1.014709107,1693.688467,6.244914534,0.008216895,0.000208465,13.62696853,0.000723978,4.232286214,1.037675034,20.38185792,15.89716506,16.39440641,38.84473453,3.620776119,1.699778892,0.387580594,0.242730854,0.121972794,0.258199198,0.061092809,0.171786641,0.004606406,22.4253611,0.300714391
RBCW-Greenbole_z13,-9.326849409,5120.251114,460406.7329,-0.551952096,0,7.932208944,19.39520178,3.465227156,15.715246,21.3504816,10.61981694,72.37427059,33.77236272,275.5493864,119.0730242,522.0219459,101.1211446,732.8269543,190.124124,28032.80998,3.796793985,1957.619795,5.396516705,0.009145279,0.000155679,16.98726014,0.000500476,19.93035354,1.845823699,130.9198661,40.67605687,20.23827777,37.87884216,4.417471465,1.790299152,0.675717502,0.214854037,0.189628351,0.481843331,0.204896005,0.26268093,0.003488465,12.97489041,0.551294691
RBCW-Greenbole_z14,137.6489769,-5949.731037,541612.8965,30.25655405,0,-17.51838769,-19.64824454,-7.65299971,-34.7073273,-25.62650446,-17.31555983,-18.20699695,-30.64238912,-75.78969416,-67.8832472,-286.9984398,-52.42898919,-270.8583339,-179.817132,-32762.34109,3.849885835,-4183.836526,7.314001377,2.269776273,0.022799991,80.40302998,0.000706986,67.66416203,33.54907603,406.6395946,244.0438154,164.8374801,145.7712561,259.1808536,456.433152,214.9543518,140.1554129,101.7052876,164.7012512,67.39805679,75.13238359,2.717331832,57.3577942,40.05076374
RBCW-Greenbole_z15,239.6160222,-5626.804157,539338.7224,41.44564508,0,-16.80975935,-18.85346233,-7.343431698,-33.30339698,-24.58989838,-15.74840263,-17.47051399,-29.16438862,-68.29609798,-63.52367473,-264.8216399,-49.20830456,-240.4745402,-168.8280859,-31093.46203,8.968889835,-4004.435144,8.727929171,81.54244036,13.43035123,248.2351688,0.000445495,54.1845484,33.49837683,510.6328113,394.6580405,321.8827265,260.6801904,406.744096,1247.213,5270.431145,7499.383301,1318.283341,909.5038505,1318.282541,853.6583771,304.1704362,283.6212877,490.7027429
RBCW-Greenbole_z16,1498.959612,-12034.13548,584883.8873,47.85201185,0,-30.52435404,-391.8771443,-7.498069415,-46.83203233,-33.25800464,-15.85150283,-46.77704998,-16.8555924,-33.8355537,-69.20844205,-360.6632798,-58.48090147,-322.8796861,-132.9262848,-63929.18128,-1359.75672,-8395.197941,6.149331357,3.864100178,0.333446503,252.8329852,0.000360195,28.49345375,0.436200389,289.7596252,312.44407,268.4672536,177.4564988,222.164065,328.2628082,339.4094593,282.5001065,143.4134249,816.493334,187.3473135,189.6696468,10.39593257,168.867626,56.98834563
RBCW-Greenbole_z17,1591.002324,-11694.37484,582220.0627,46.73904508,0,-29.81440287,-28.9968598,-7.32367545,-45.74278877,-32.48447282,-15.4828204,-45.68908523,-16.46355634,-32.37118481,-67.59875641,-349.5642021,-57.1207225,-299.9507113,-129.2573467,-62250.63926,-1328.130797,-8189.79627,9.405621695,159.2624152,5.223299545,234.3562866,0.000701765,36.64040291,18.85749312,199.203644,250.6224147,241.7232033,221.253335,170.7053379,268.0776134,1435.832821,1232.511337,927.2279722,1680.139931,1435.832821,2828.414161,131.6665392,121.8778408,185.5924063
